prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0196,64,4,42,64,16,2.545739041097481,8.92609977722168,1.7806437965482473
seq_0196,256,4,42,256,16,1.0018517798286835,3.576278118089249e-07,0.7897347044199705
seq_0197,64,18,42,64,16,2.014480337210042,8.18407917022705,0.6504916790872812
seq_0197,256,18,42,256,16,1.0000394009181701,6.437280717364047e-06,0.6311720311641693
seq_0198,64,31,42,64,16,1.7005365197633393,13.12408447265625,0.6758865192532539
seq_0198,256,31,42,256,16,1.1081521530314786,0.35992810130119324,0.681960940361023
seq_0199,64,4,42,64,16,3.1783979072601714,4.825356960296631,0.6597286760807037
seq_0199,256,4,42,256,16,1.0002615635246441,6.48477507638745e-05,0.6467259600758553
seq_0200,64,18,42,64,16,5.310988824109702,8.213411331176758,0.6737263239920139
seq_0200,256,18,42,256,16,2.3815704515866605,0.02381284534931183,0.6552558094263077
seq_0201,64,31,42,64,16,1.461670916637016,0.999549388885498,0.6458644643425941
seq_0201,256,31,42,256,16,1.0322896327897855,2.145764938177308e-06,0.6880279276520014
seq_0202,64,4,42,64,16,2.2930436558871095,7.647510528564453,0.633537083864212
seq_0202,256,4,42,256,16,1.0742592676446236,4.625213477993384e-05,0.6179361920803785
seq_0203,64,18,42,64,16,2.8313863245619726,0.014395901933312416,0.6338056530803442
seq_0203,256,18,42,256,16,2.8058619465033594,2.9212965965270996,0.666935421526432
seq_0204,64,31,42,64,16,5.897143455722928,1.8741750717163086,0.6142132487148046
seq_0204,256,31,42,256,16,1.0000736473626595,3.099436753473128e-06,0.6678902674466372
seq_0205,64,4,42,64,16,2.2168521075185907,0.7160924673080444,0.6446010712534189
seq_0205,256,4,42,256,16,1.0701960266029236,1.9550132492440753e-05,0.6510505583137274
seq_0206,64,18,42,64,16,1.6969537771243564,4.782725811004639,0.6339355800300837
seq_0206,256,18,42,256,16,1.9007786238720075,2.633009910583496,0.6523942817002535
seq_0207,64,31,42,64,16,2.1529794331574004,1.2538201808929443,0.6311887037009001
seq_0207,256,31,42,256,16,1.0003175151606338,0.002141208155080676,0.656701447442174
seq_0208,64,4,42,64,16,2.624315450025355,0.08034002780914307,0.6233282089233398
seq_0208,256,4,42,256,16,1.0000196986752252,0.00014935807848814875,0.6338590979576111
seq_0209,64,18,42,64,16,2.5973635534463435,4.085516929626465,0.6315704602748156
seq_0209,256,18,42,256,16,1.469243945965025,5.582616806030273,0.6344337835907936
seq_0210,64,31,42,64,16,3.3536240369664703,10.156058311462402,0.6425423752516508
seq_0210,256,31,42,256,16,1.001427174559519,2.5152843591058627e-05,0.6666731834411621
seq_0211,64,4,42,64,16,1.3253197556478957,0.6845148205757141,0.6273105628788471
seq_0211,256,4,42,256,16,1.6858779477960724,7.1058125495910645,0.6180864367634058
seq_0212,64,18,42,64,16,1.3288721765830172,0.04261135309934616,0.6480702850967646
seq_0212,256,18,42,256,16,1.752172966593499,5.531158240046352e-05,0.6306924819946289
seq_0213,64,31,42,64,16,1.755544275673221,7.249845027923584,0.6605614777654409
seq_0213,256,31,42,256,16,1.0003156370844357,0.001975610153749585,0.6310718134045601
seq_0214,64,4,42,64,16,1.4823972491467774,0.915035605430603,0.6739215850830078
seq_0214,256,4,42,256,16,1.805255038450636,0.8288896083831787,0.6233273986726999
seq_0215,64,18,42,64,16,2.1537389973682926,7.533491134643555,0.6620449349284172
seq_0215,256,18,42,256,16,1.0429324811282286,5.3165931603871286e-05,0.6345747895538807
seq_0196,64,4,43,64,16,2.545739041097481,8.92609977722168,0.65383973531425
seq_0196,256,4,43,256,16,1.0018517798286835,3.576278118089249e-07,0.6377652138471603
seq_0197,64,18,43,64,16,2.014480337210042,8.18407917022705,0.6815243270248175
seq_0197,256,18,43,256,16,1.0000394009181701,6.437280717364047e-06,0.6670538913458586
seq_0198,64,31,43,64,16,1.7005365197633393,13.12408447265625,0.6080863233655691
seq_0198,256,31,43,256,16,1.1081521530314786,0.35992810130119324,0.6187002919614315
