rtol_scaled,atol_scaled,required,harmful_pass_k,harmful_pass_n,harmful_pass,harmful_pass_ci95_low,harmful_pass_ci95_high,benign_reject_k,benign_reject_n,benign_reject,benign_reject_ci95_low,benign_reject_ci95_high
1e-06,1e-07,False,35,3795,0.00922266139657444,0.006638902921456651,0.012799022576674144,11989,14349,0.8355286082653843,0.8293733867564329,0.8415042184141001
1e-06,1e-06,False,46,3795,0.012121212121212121,0.009099972679696257,0.016129191916163698,11241,14349,0.7833995400376332,0.7765840581407646,0.7900633157144585
1e-06,1e-05,False,95,3795,0.025032938076416336,0.02052208908436002,0.03050441331047528,9869,14349,0.687783120774967,0.6801514387904205,0.6953142808340477
1e-06,0.0001,False,393,3795,0.10355731225296443,0.09426085580198161,0.11365557851315274,7467,14349,0.5203846957976166,0.5122059669134055,0.5285525125782097
1e-06,0.001,False,1039,3795,0.27378129117259553,0.25982854233366726,0.2881915699026524,5172,14349,0.36044323646247123,0.3526255200749508,0.3683356587901458
1e-05,1e-07,False,192,3795,0.05059288537549407,0.044063052093543074,0.05803164961763118,9256,14349,0.6450623736845773,0.6371952131905535,0.6528518810378118
1e-05,1e-06,True,217,3795,0.05718050065876153,0.05023112783018371,0.0650254809212841,8807,14349,0.6137709944943899,0.6057749903697355,0.6217060960236377
1e-05,1e-05,False,288,3795,0.07588932806324111,0.06788592683420228,0.0847504979116992,8510,14349,0.5930726879921946,0.5850106355717062,0.6010849177994118
1e-05,0.0001,False,476,3795,0.12542819499341237,0.11526781107497218,0.13634615461393673,7208,14349,0.5023346574674193,0.4941540496713874,0.5105140155011566
1e-05,0.001,False,1066,3795,0.2808959156785244,0.26682356906874277,0.29541140277109385,5118,14349,0.35667990800752664,0.3488813519422725,0.3645551845551413
0.0001,1e-07,False,623,3795,0.16416337285902502,0.15271852823649001,0.17628745084934494,6690,14349,0.4662345808070249,0.45808221477116107,0.4744050217632406
0.0001,1e-06,False,689,3795,0.18155467720685112,0.1696142118095873,0.19413920186262262,6338,14349,0.44170325458220083,0.4335945612844025,0.4498431546310298
0.0001,1e-05,False,706,3795,0.18603425559947298,0.17397311602102242,0.19873039443858712,6264,14349,0.4365461007735731,0.42844913447108673,0.4446770344960396
0.0001,0.0001,False,798,3795,0.21027667984189724,0.19760759051025165,0.22353173785763816,5986,14349,0.4171719283573768,0.40912701447975985,0.4252611808167033
0.0001,0.001,False,1183,3795,0.3117259552042161,0.2971852905905061,0.3266474061979043,4907,14349,0.34197505052616906,0.33425644874916943,0.3497782444226691
0.001,1e-07,False,1442,3795,0.3799736495388669,0.36465934852832604,0.3955307051975254,4432,14349,0.30887169837619344,0.301363835152775,0.3164818742292612
0.001,1e-06,False,1557,3795,0.41027667984189725,0.39472512237412094,0.4260097037370809,4157,14349,0.2897065997630497,0.2823412830298756,0.2971844883685909
0.001,1e-05,False,1557,3795,0.41027667984189725,0.39472512237412094,0.4260097037370809,4151,14349,0.2892884521569447,0.2819264215845236,0.29676327843975586
0.001,0.0001,False,1587,3795,0.41818181818181815,0.4025785382300622,0.43395057632949185,4095,14349,0.28538574116663185,0.2780547525406321,0.29283161465790236
0.001,0.001,False,1695,3795,0.44664031620553357,0.4308848641449343,0.46250368882868775,3835,14349,0.26726601156875046,0.2600881426384498,0.2745684650119823
0.01,1e-07,False,2512,3795,0.6619235836627141,0.646715690429691,0.6768039846207242,2311,14349,0.16105651961809186,0.1551328429795785,0.16716163562736167
0.01,1e-06,False,2644,3795,0.6967061923583663,0.6818879480722589,0.7111265961509062,2047,14349,0.14265802494947383,0.13703133848292826,0.14847599965978492
0.01,1e-05,False,2644,3795,0.6967061923583663,0.6818879480722589,0.7111265961509062,2046,14349,0.14258833368178966,0.1369628306218404,0.14840516229184159
0.01,0.0001,False,2644,3795,0.6967061923583663,0.6818879480722589,0.7111265961509062,2044,14349,0.14244895114642137,0.1368258162930946,0.1482634861625251
0.01,0.001,False,2655,3795,0.6996047430830039,0.6848233116566756,0.7139824716642186,2018,14349,0.1406369781866332,0.13504480009594458,0.14642152640486486
