prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0000,64,4,42,64,16,2.1232085165115318,6.6499552726745605,0.6394560877233744
seq_0000,256,4,42,256,16,1.0006558297294483,0.00041368984966538846,0.662170983850956
seq_0001,64,18,42,64,16,1.6111211651262138,6.013898849487305,0.6326594725251198
seq_0001,256,18,42,256,16,1.0067193082218073,1.4305104514278355e-06,0.6549562159925699
seq_0002,64,31,42,64,16,1.7903714926736505,2.602631092071533,0.640091210603714
seq_0002,256,31,42,256,16,1.3781679135458405,1.5797507762908936,0.6665768269449472
seq_0003,64,4,42,64,16,2.3380813696464267,5.778236389160156,0.6789068169891834
seq_0003,256,4,42,256,16,1.2447543817215192,0.04568950831890106,0.6355814952403307
seq_0004,64,18,42,64,16,2.6262056579331854,0.8745936155319214,0.6887540966272354
seq_0004,256,18,42,256,16,1.0005777535558036,0.00045658653834834695,0.6645598001778126
seq_0005,64,31,42,64,16,1.9173097095243627,0.01526893861591816,0.692714910954237
seq_0005,256,31,42,256,16,1.0015518697520758,4.053033626405522e-05,0.6727594640105963
seq_0006,64,4,42,64,16,1.6697338489901323,0.13896632194519043,0.6459038443863392
seq_0006,256,4,42,256,16,1.5913864064957641,0.3670040965080261,0.687144635245204
seq_0007,64,18,42,64,16,1.9793912276683945,11.391789436340332,0.6674912646412849
seq_0007,256,18,42,256,16,1.000339336322467,0.00012265883560758084,0.6386809442192316
seq_0008,64,31,42,64,16,2.8660641615484925,0.0438171923160553,0.6811165846884251
seq_0008,256,31,42,256,16,1.0325905077184692,3.373566141817719e-05,0.6763129718601704
seq_0009,64,4,42,64,16,4.1988475088921176,0.023369479924440384,0.6273036208003759
seq_0009,256,4,42,256,16,1.9003544552780463,0.03470565006136894,0.6764328647404909
seq_0010,64,18,42,64,16,1.7555134859350696,7.859827518463135,0.6707621049135923
seq_0010,256,18,42,256,16,1.1377778814893629,0.00013255194062367082,0.6445356570184231
seq_0011,64,31,42,64,16,2.4422702982790123,8.114554405212402,0.6572271436452866
seq_0011,256,31,42,256,16,1.0001951560191056,4.291525328881107e-06,0.636292016133666
seq_0012,64,4,42,64,16,2.055352464539945,5.462615966796875,0.622944938018918
seq_0012,256,4,42,256,16,1.010086344601995,10.722026824951172,0.6709104925394058
seq_0013,64,18,42,64,16,1.332788978809292,0.05612495169043541,0.6485526952892542
seq_0013,256,18,42,256,16,2.2744677198594405,2.223158359527588,0.667230524122715
seq_0014,64,31,42,64,16,2.4851474766881063,4.3944993019104,0.641220586374402
seq_0014,256,31,42,256,16,1.000622833272988,0.00016592556494288146,0.656830657273531
seq_0015,64,4,42,64,16,1.369136886886417,11.953245162963867,0.6754948440939188
seq_0015,256,4,42,256,16,1.0000226264285141,0.0001674750237725675,0.635483568534255
