mode,relative,gamma,n_trials,rel_ppl_rise,rel_ppl_ci95_low,rel_ppl_ci95_high,top1_change,top1_ci95_low,top1_ci95_high,harmful,harmful_k,harmful_n,mean_tv,mean_y_rel_l2,p95_rel_ppl,p99_rel_ppl
single,False,1e-06,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,4.361009331432797e-10,1.2067142248979612e-07,0.0,0.0
single,False,1e-05,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,5.478987818996472e-10,1.193418886600612e-07,0.0,0.0
single,False,0.0001,32,0.00018557640349617675,-0.00021141468369684056,0.0008456782119141669,0.0,0.0,0.0,0.03125,1,32,1.887742277772997e-08,2.420300399087214e-07,0.0,0.009020567593751113
single,False,0.001,32,0.0008203771333503164,8.045756037239682e-05,0.0017715294859960411,0.0,0.0,0.0,0.1875,6,32,9.188836853912807e-08,1.8062678751194105e-06,0.009020567593751113,0.009743137438624577
single,False,0.01,32,0.00041496447278310995,-0.0004644930914574424,0.0013681645888712808,0.0,0.0,0.0,0.21875,7,32,3.2363154406356287e-07,4.478981100191303e-06,0.006723249055944454,0.008827641148172596
single,False,0.1,32,0.0018321514414428334,-0.00018130183393363605,0.003984039349015595,0.033203125,0.0,0.095703125,0.4375,14,32,8.018838876938661e-06,0.00011090225146364119,0.01082257708449219,0.023306598410336343
single,True,1e-06,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,4.775552731040023e-10,1.1969963400909347e-07,0.0,0.0
single,True,1e-05,32,0.00012542540170018622,0.0,0.00037627410910777437,0.0,0.0,0.0,0.03125,1,32,1.6748945175226737e-08,3.275039749856814e-07,6.707176909765786e-08,0.004013545782636861
single,True,0.0001,32,0.0023030714467798573,0.00037797125531609406,0.005067547178336241,0.017578125,0.0,0.052734375,0.15625,5,32,1.0178945988176258e-07,1.6020724110041272e-06,0.012639893407964876,0.039940856511529545
single,True,0.001,32,0.0027387481312888965,-4.152841274758639e-05,0.006100009726919985,0.09375,0.021484375,0.19140625,0.3125,10,32,5.054954424765778e-07,1.3183978375457653e-05,0.018627111186034516,0.039940856511529545
single,True,0.01,32,0.006229209578543792,-6.523766169133069e-05,0.014819252929646162,0.111328125,0.021484375,0.22265625,0.375,12,32,3.621141676257711e-05,0.0006087003646454031,0.06720386616435155,0.11484729631877572
single,True,0.1,32,0.004340667159096762,0.001573935830390249,0.007613930746550321,0.111328125,0.02734375,0.22265625,0.375,12,32,0.00012001343363165357,0.0020684693088296015,0.021070038991048905,0.03286451677572048
sparse,False,1e-06,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,32,4.4979572880697854e-10,1.1925843057373236e-07,0.0,0.0
sparse,False,1e-05,32,0.00028196530325695835,0.0,0.0008458959097708751,0.0,0.0,0.0,0.03125,1,32,6.023560233936465e-09,1.6350960650710948e-07,2.322110471555341e-06,0.009020567593751113
sparse,False,0.0001,32,0.0002217257313422251,-0.000767689579630799,0.001185290125696308,0.0,0.0,0.0,0.0625,2,32,4.776726797613151e-08,5.372333835187192e-07,0.008492515974259828,0.009964161918310293
sparse,False,0.001,32,0.0017040431804835135,-0.00030667261085544914,0.004786837611168491,0.00390625,0.0,0.01171875,0.15625,5,32,2.743294874596458e-07,3.5136687934828555e-06,0.012639893407964876,0.04116688867534597
sparse,False,0.01,32,0.0023343945815814554,-0.0003703952028389737,0.005692910902924759,0.060546875,0.0,0.15234375,0.34375,11,32,8.024054236832612e-06,0.00010268449921019454,0.025592038933304556,0.03913038920026022
sparse,False,0.1,32,0.0022614556304133664,0.00017658522139046476,0.004252406716344436,0.052734375,0.0,0.12890625,0.375,12,32,2.6396766040548414e-05,0.00031372348176341987,0.01733475730241005,0.018025623085867006
sparse,True,1e-06,32,0.00032776636949132746,0.0,0.0009832991084739824,0.0,0.0,0.0,0.03125,1,32,1.8887438210657415e-09,1.251687948269483e-07,0.0,0.010488523823722479
sparse,True,1e-05,32,5.870859489540968e-06,0.0,1.7612578468622904e-05,0.0,0.0,0.0,0.0,0,32,4.7537914674156134e-08,5.384231557835191e-07,0.0,0.00018786750366531096
sparse,True,0.0001,32,0.001002367744088734,9.638880983089627e-05,0.0019663730384211512,0.0,0.0,0.0,0.28125,9,32,1.4251498253736727e-07,2.0213863862828503e-06,0.006634076585213393,0.008810910405621196
sparse,True,0.001,32,0.0018629247067719918,0.0004014289254858927,0.003391495699448637,0.0,0.0,0.0,0.375,12,32,5.05883346546554e-06,6.6596657651061e-05,0.008648411242027865,0.018433861737312564
sparse,True,0.01,32,0.005842348107025723,-0.00050834893245112,0.014507346148389355,0.0625,0.0,0.15625,0.34375,11,32,3.637969047431966e-05,0.00044773418392169263,0.06560793306495054,0.11478589813831593
sparse,True,0.1,32,0.0032778460403276185,0.0006665925499366996,0.006722976079964039,0.05078125,0.0,0.1328125,0.4375,14,32,0.00039388313667121366,0.0034931671710621438,0.02045986950930248,0.04124558167814083
top2_gap,False,1e-06,32,7.256595223610441e-08,0.0,2.1769785670831325e-07,0.0,0.0,0.0,0.0,0,32,6.33383234749374e-09,1.4233980727835118e-07,0.0,2.322110471555341e-06
top2_gap,False,1e-05,32,7.256595223610441e-08,0.0,2.1769785670831325e-07,0.0,0.0,0.0,0.0,0,32,6.405323912939132e-08,6.193772418685653e-07,0.0,2.322110471555341e-06
top2_gap,False,0.0001,32,0.00266152165263997,0.0010760523419582847,0.004662434530350971,0.029296875,0.0,0.087890625,0.28125,9,32,7.100766865608676e-07,7.624683949408127e-06,0.012262468539332085,0.022504310565962648
