rtol_scaled,atol_scaled,required,harmful_pass_k,harmful_pass_n,harmful_pass,harmful_pass_ci95_low,harmful_pass_ci95_high,benign_reject_k,benign_reject_n,benign_reject,benign_reject_ci95_low,benign_reject_ci95_high
1e-06,1e-07,False,1,245,0.004081632653061225,0.0007208535639181141,0.022754321004964263,756,907,0.8335170893054025,0.8078772988095518,0.8563435712078037
1e-06,1e-06,False,2,245,0.00816326530612245,0.0022414768957745006,0.029270939034680858,709,907,0.7816979051819184,0.7536558330647598,0.8073637778094032
1e-06,1e-05,False,4,245,0.0163265306122449,0.006366811767834029,0.04122008688576731,621,907,0.6846747519294377,0.6537101921087222,0.7140815293058466
1e-06,0.0001,False,21,245,0.08571428571428572,0.05674426832732841,0.1274757334730137,463,907,0.5104740904079382,0.47796533826441656,0.542894490711335
1e-06,0.001,False,67,245,0.27346938775510204,0.22147332150693042,0.33245978292576894,319,907,0.35170893054024255,0.3213173771039044,0.3833513600288747
1e-05,1e-07,False,7,245,0.02857142857142857,0.013907365478111732,0.05779125726020855,586,907,0.6460859977949284,0.6144089524381736,0.6765307674867836
1e-05,1e-06,True,8,245,0.0326530612244898,0.016636705889509378,0.0630991582103839,556,907,0.6130099228224918,0.5808983046494579,0.644168271141547
1e-05,1e-05,False,11,245,0.044897959183673466,0.025252201477064612,0.07859538670754761,528,907,0.5821389195148843,0.5497600988799135,0.6138248757194021
1e-05,0.0001,False,25,245,0.10204081632653061,0.07007544102854105,0.14629352621809297,449,907,0.49503858875413453,0.46258943444538353,0.5275295939345235
1e-05,0.001,False,71,245,0.2897959183673469,0.2365797443542216,0.3495023255247698,315,907,0.3472987872105843,0.3170158341913211,0.37886981705693096
0.0001,1e-07,False,33,245,0.1346938775510204,0.09754188372068368,0.18312501441853424,410,907,0.4520396912899669,0.4199193931950596,0.48456454781070896
0.0001,1e-06,False,40,245,0.16326530612244897,0.12224695266465482,0.2146806350055739,397,907,0.43770672546857775,0.4057497081711646,0.47018920370989126
0.0001,1e-05,False,40,245,0.16326530612244897,0.12224695266465482,0.2146806350055739,389,907,0.4288864388092613,0.39704340441618785,0.46132933569581397
0.0001,0.0001,False,48,245,0.19591836734693877,0.15107446849826073,0.2501510500645519,376,907,0.4145534729878721,0.38291782601382074,0.4469098849734683
0.0001,0.001,False,75,245,0.30612244897959184,0.2517730993698697,0.36645793595541365,305,907,0.3362734288864388,0.3062747737557858,0.3676531627811487
0.001,1e-07,False,90,245,0.3673469387755102,0.30946137816922276,0.42932827757965536,285,907,0.31422271223814774,0.28484901203305624,0.3451634950812432
0.001,1e-06,False,98,245,0.4,0.3406546541613424,0.4624329324801196,263,907,0.28996692392502754,0.2613716250223572,0.3203339097270437
0.001,1e-05,False,98,245,0.4,0.3406546541613424,0.4624329324801196,261,907,0.28776185226019846,0.25924225276768925,0.31807173903944813
0.001,0.0001,False,98,245,0.4,0.3406546541613424,0.4624329324801196,257,907,0.28335170893054024,0.25498605225276827,0.3135448536698421
0.001,0.001,False,107,245,0.43673469387755104,0.37607821544544195,0.49934454345017687,240,907,0.26460859977949286,0.23693609345048083,0.2942666974628898
0.01,1e-07,False,151,245,0.6163265306122448,0.5540839825441561,0.6749773962606738,143,907,0.15766262403528114,0.13539554025044676,0.18281741796314382
0.01,1e-06,False,161,245,0.6571428571428571,0.5956902398928872,0.7137435525276727,130,907,0.14332965821389196,0.12202758506617876,0.16764034402269903
0.01,1e-05,False,161,245,0.6571428571428571,0.5956902398928872,0.7137435525276727,129,907,0.1422271223814774,0.12100234337654804,0.166469814241198
0.01,0.0001,False,161,245,0.6571428571428571,0.5956902398928872,0.7137435525276727,129,907,0.1422271223814774,0.12100234337654804,0.166469814241198
0.01,0.001,False,161,245,0.6571428571428571,0.5956902398928872,0.7137435525276727,127,907,0.14002205071664828,0.11895323894323644,0.1641273757322461
