prompt_id,ctx,layer,seed,prompt_tokens,gen_tokens,ppl,nll_true_next,seconds
seq_0196,64,4,42,64,16,2.545739041097481,8.92609977722168,1.7819805573672056
seq_0196,256,4,42,256,16,1.0018517798286835,3.576278118089249e-07,0.7199378963559866
seq_0197,64,18,42,64,16,2.014480337210042,8.18407917022705,0.678434619680047
seq_0197,256,18,42,256,16,1.0000394009181701,6.437280717364047e-06,0.6782353594899178
seq_0198,64,31,42,64,16,1.7005365197633393,13.12408447265625,0.6264600940048695
seq_0198,256,31,42,256,16,1.1081521530314786,0.35992810130119324,0.6533184386789799
seq_0199,64,4,42,64,16,3.1783979072601714,4.825356960296631,0.6222243886440992
seq_0199,256,4,42,256,16,1.0002615635246441,6.48477507638745e-05,0.666480977088213
seq_0200,64,18,42,64,16,5.310988824109702,8.213411331176758,0.6438097562640905
seq_0200,256,18,42,256,16,2.3815704515866605,0.02381284534931183,0.6620875485241413
seq_0201,64,31,42,64,16,1.461670916637016,0.999549388885498,0.6387228723615408
seq_0201,256,31,42,256,16,1.0322896327897855,2.145764938177308e-06,0.6634936593472958
seq_0202,64,4,42,64,16,2.2930436558871095,7.647510528564453,0.6097528580576181
seq_0202,256,4,42,256,16,1.0742592676446236,4.625213477993384e-05,0.6664578877389431
seq_0203,64,18,42,64,16,2.8313863245619726,0.014395901933312416,0.6349435206502676
seq_0203,256,18,42,256,16,2.8058619465033594,2.9212965965270996,0.6639225818216801
seq_0204,64,31,42,64,16,5.897143455722928,1.8741750717163086,0.633771788328886
seq_0204,256,31,42,256,16,1.0000736473626595,3.099436753473128e-06,0.6389485243707895
seq_0205,64,4,42,64,16,2.2168521075185907,0.7160924673080444,0.6465761829167604
seq_0205,256,4,42,256,16,1.0701960266029236,1.9550132492440753e-05,0.6495854891836643
seq_0206,64,18,42,64,16,1.6969537771243564,4.782725811004639,0.633237712085247
seq_0206,256,18,42,256,16,1.9007786238720075,2.633009910583496,0.6618949081748724
seq_0207,64,31,42,64,16,2.1529794331574004,1.2538201808929443,0.626613300293684
seq_0207,256,31,42,256,16,1.0003175151606338,0.002141208155080676,0.6633634977042675
seq_0208,64,4,42,64,16,2.624315450025355,0.08034002780914307,0.6344578433781862
seq_0208,256,4,42,256,16,1.0000196986752252,0.00014935807848814875,0.6710960678756237
seq_0209,64,18,42,64,16,2.5973635534463435,4.085516929626465,0.6231453251093626
seq_0209,256,18,42,256,16,1.469243945965025,5.582616806030273,0.6857086829841137
seq_0210,64,31,42,64,16,3.3536240369664703,10.156058311462402,0.6745095141232014
seq_0210,256,31,42,256,16,1.001427174559519,2.5152843591058627e-05,0.6218118909746408
seq_0211,64,4,42,64,16,1.3253197556478957,0.6845148205757141,0.6863707769662142
seq_0211,256,4,42,256,16,1.6858779477960724,7.1058125495910645,0.668153079226613
seq_0212,64,18,42,64,16,1.3288721765830172,0.04261135309934616,0.6345485672354698
seq_0212,256,18,42,256,16,1.752172966593499,5.531158240046352e-05,0.6625856887549162
seq_0213,64,31,42,64,16,1.755544275673221,7.249845027923584,0.6486162859946489
seq_0213,256,31,42,256,16,1.0003156370844357,0.001975610153749585,0.6785398535430431
seq_0214,64,4,42,64,16,1.4823972491467774,0.915035605430603,0.6652225311845541
seq_0214,256,4,42,256,16,1.805255038450636,0.8288896083831787,0.6919748857617378
seq_0215,64,18,42,64,16,2.1537389973682926,7.533491134643555,0.635741800069809
seq_0215,256,18,42,256,16,1.0429324811282286,5.3165931603871286e-05,0.6543297339230776
seq_0196,64,4,43,64,16,2.545739041097481,8.92609977722168,0.625792795792222
seq_0196,256,4,43,256,16,1.0018517798286835,3.576278118089249e-07,0.6753885224461555
seq_0197,64,18,43,64,16,2.014480337210042,8.18407917022705,0.6151661761105061
seq_0197,256,18,43,256,16,1.0000394009181701,6.437280717364047e-06,0.6716895550489426
seq_0198,64,31,43,64,16,1.7005365197633393,13.12408447265625,0.6327405627816916
seq_0198,256,31,43,256,16,1.1081521530314786,0.35992810130119324,0.6549267321825027
seq_0199,64,4,43,64,16,3.1783979072601714,4.825356960296631,0.6264554355293512
seq_0199,256,4,43,256,16,1.0002615635246441,6.48477507638745e-05,0.6742812413722277
seq_0200,64,18,43,64,16,5.310988824109702,8.213411331176758,0.6463946253061295
seq_0200,256,18,43,256,16,2.3815704515866605,0.02381284534931183,0.6389150358736515
