k_kind,rel,bit_class,layer,n_trials,H_L1,H_L1_k,H_L1_n,H_L1_ci95_low,H_L1_ci95_high,H_L2,H_L2_k,H_L2_n,H_L2_ci95_low,H_L2_ci95_high,H_L16,H_L16_k,H_L16_n,H_L16_ci95_low,H_L16_ci95_high,H_Lfull,H_Lfull_k,H_Lfull_n,H_Lfull_ci95_low,H_Lfull_ci95_high,delayed_harm,delayed_harm_k,delayed_harm_n,delayed_harm_ci95_low,delayed_harm_ci95_high
bitflip,,exponent,18,168,0.7202380952380952,121,168,0.6480184997243192,0.7826106378069886,0.7678571428571429,129,168,0.6984594742515523,0.8252786659892276,0.8511904761904762,143,168,0.789550043034709,0.8971288519476469,0.8511904761904762,143,168,0.789550043034709,0.8971288519476469,0.13095238095238096,22,168,0.08809287772188032,0.19031235127971188
bitflip,,exponent,31,168,0.6190476190476191,104,168,0.5437286900538629,0.6890438167198172,0.6845238095238095,115,168,0.6107947976421473,0.7500025878570566,0.8035714285714286,135,168,0.7369957994314368,0.8565740928414473,0.8035714285714286,135,168,0.7369957994314368,0.8565740928414473,0.18452380952380953,31,168,0.13314977410179082,0.2500030829479573
bitflip,,exponent,4,168,0.7142857142857143,120,168,0.6417804894465735,0.7772100227460506,0.7857142857142857,132,168,0.7176445248005752,0.8410094914562567,0.8809523809523809,148,168,0.8232723558133145,0.9215996658624613,0.8809523809523809,148,168,0.8232723558133145,0.9215996658624613,0.16666666666666666,28,168,0.11790055491853225,0.23033642611516392
bitflip,,exponent,all,504,0.6845238095238095,345,504,0.6426863658633566,0.7235695690580835,0.746031746031746,376,504,0.7062666741778938,0.7820745723840263,0.8452380952380952,426,504,0.8110615733167678,0.8741914662136686,0.8452380952380952,426,504,0.8110615733167678,0.8741914662136686,0.16071428571428573,81,504,0.13123500974921665,0.19532665829845808
bitflip,,mantissa,18,168,0.25595238095238093,43,168,0.19593178226370972,0.3268845788502464,0.35714285714285715,60,168,0.28862294698512736,0.4320500448864568,0.5476190476190477,92,168,0.47212797068769513,0.620981032021777,0.5476190476190477,92,168,0.47212797068769513,0.620981032021777,0.2916666666666667,49,168,0.22820453217253062,0.36444358097352963
bitflip,,mantissa,31,168,0.15476190476190477,26,168,0.10785477160945138,0.2171049587468768,0.2261904761904762,38,168,0.169460129183173,0.29516310523736317,0.40476190476190477,68,168,0.3334700860620521,0.48031190851900407,0.40476190476190477,68,168,0.3334700860620521,0.48031190851900407,0.25,42,168,0.1906051286908763,0.32057260708439583
bitflip,,mantissa,4,168,0.2916666666666667,49,168,0.22820453217253062,0.36444358097352963,0.4107142857142857,69,168,0.33912610275529104,0.4862945171644491,0.5595238095238095,94,168,0.4839541120643287,0.6324321413225114,0.5595238095238095,94,168,0.4839541120643287,0.6324321413225114,0.26785714285714285,45,168,0.20663101496670527,0.33946259682461893
bitflip,,mantissa,all,504,0.23412698412698413,118,504,0.19925380378167168,0.273022591062705,0.33134920634920634,167,504,0.29166635188354356,0.37358360006997887,0.503968253968254,254,504,0.46045234571927096,0.5474241259994698,0.503968253968254,254,504,0.46045234571927096,0.5474241259994698,0.2698412698412698,136,504,0.23293708518286443,0.310227555130178
bitflip,,sign,18,168,0.26785714285714285,45,168,0.20663101496670527,0.33946259682461893,0.35714285714285715,60,168,0.28862294698512736,0.4320500448864568,0.5059523809523809,85,168,0.43106576076917685,0.5805728645695071,0.5059523809523809,85,168,0.43106576076917685,0.5805728645695071,0.23809523809523808,40,168,0.1799995160684203,0.30790096902948383
bitflip,,sign,31,168,0.14285714285714285,24,168,0.09791534368002103,0.20376713599893914,0.20238095238095238,34,168,0.1485947022039544,0.2694740308618458,0.375,63,168,0.3053556839150858,0.45023318397255035,0.375,63,168,0.3053556839150858,0.45023318397255035,0.23214285714285715,39,168,0.17472133401077244,0.3015405257484477
