k_kind,rel,bit_class,layer,n_trials,H_L1,H_L1_k,H_L1_n,H_L1_ci95_low,H_L1_ci95_high,H_L2,H_L2_k,H_L2_n,H_L2_ci95_low,H_L2_ci95_high,H_L16,H_L16_k,H_L16_n,H_L16_ci95_low,H_L16_ci95_high,H_Lfull,H_Lfull_k,H_Lfull_n,H_Lfull_ci95_low,H_Lfull_ci95_high,delayed_harm,delayed_harm_k,delayed_harm_n,delayed_harm_ci95_low,delayed_harm_ci95_high
bitflip,,exponent,18,10,0.7,7,10,0.39677321997956516,0.892210712513788,0.8,8,10,0.49015684672072335,0.9433190520193067,0.8,8,10,0.49015684672072335,0.9433190520193067,0.8,8,10,0.49015684672072335,0.9433190520193067,0.1,1,10,0.01787574951572113,0.4041563854975721
bitflip,,exponent,31,10,0.5,5,10,0.23658959361548731,0.7634104063845126,0.7,7,10,0.39677321997956516,0.892210712513788,0.8,8,10,0.49015684672072335,0.9433190520193067,0.8,8,10,0.49015684672072335,0.9433190520193067,0.3,3,10,0.10778928748621183,0.6032267800204347
bitflip,,exponent,4,12,0.5833333333333334,7,12,0.3195073356553728,0.8067425380947535,0.5833333333333334,7,12,0.3195073356553728,0.8067425380947535,0.75,9,12,0.46768966087934005,0.9110599603710386,0.75,9,12,0.46768966087934005,0.9110599603710386,0.16666666666666666,2,12,0.04696414761482223,0.44803635738467273
bitflip,,exponent,all,32,0.59375,19,32,0.4225972657298823,0.744805975196862,0.6875,22,32,0.514330003019676,0.8204764788338126,0.78125,25,32,0.6124466920955516,0.8897630306846815,0.78125,25,32,0.6124466920955516,0.8897630306846815,0.1875,6,32,0.08889423936162782,0.3530949575492244
bitflip,,mantissa,18,10,0.4,4,10,0.16817758120350962,0.6873304525498136,0.5,5,10,0.23658959361548731,0.7634104063845126,0.6,6,10,0.3126695474501863,0.8318224187964902,0.6,6,10,0.3126695474501863,0.8318224187964902,0.2,2,10,0.056680947980693314,0.5098431532792765
bitflip,,mantissa,31,10,0.1,1,10,0.01787574951572113,0.4041563854975721,0.1,1,10,0.01787574951572113,0.4041563854975721,0.3,3,10,0.10778928748621183,0.6032267800204347,0.3,3,10,0.10778928748621183,0.6032267800204347,0.2,2,10,0.056680947980693314,0.5098431532792765
bitflip,,mantissa,4,12,0.25,3,12,0.08894003962896138,0.53231033912066,0.4166666666666667,5,12,0.19325746190524654,0.6804926643446272,0.5,6,12,0.2537781703934222,0.7462218296065778,0.5,6,12,0.2537781703934222,0.7462218296065778,0.25,3,12,0.08894003962896138,0.53231033912066
bitflip,,mantissa,all,32,0.25,8,32,0.13252243982621553,0.4210689177024662,0.34375,11,32,0.20410233354328552,0.5168922649121406,0.46875,15,32,0.3086912990168234,0.6355076206742618,0.46875,15,32,0.3086912990168234,0.6355076206742618,0.21875,7,32,0.11023696931531857,0.3875533079044484
bitflip,,sign,18,10,0.4,4,10,0.16817758120350962,0.6873304525498136,0.4,4,10,0.16817758120350962,0.6873304525498136,0.5,5,10,0.23658959361548731,0.7634104063845126,0.5,5,10,0.23658959361548731,0.7634104063845126,0.1,1,10,0.01787574951572113,0.4041563854975721
bitflip,,sign,31,10,0.1,1,10,0.01787574951572113,0.4041563854975721,0.2,2,10,0.056680947980693314,0.5098431532792765,0.4,4,10,0.16817758120350962,0.6873304525498136,0.4,4,10,0.16817758120350962,0.6873304525498136,0.3,3,10,0.10778928748621183,0.6032267800204347
bitflip,,sign,4,12,0.25,3,12,0.08894003962896138,0.53231033912066,0.4166666666666667,5,12,0.19325746190524654,0.6804926643446272,0.4166666666666667,5,12,0.19325746190524654,0.6804926643446272,0.4166666666666667,5,12,0.19325746190524654,0.6804926643446272,0.16666666666666666,2,12,0.04696414761482223,0.44803635738467273
bitflip,,sign,all,32,0.25,8,32,0.13252243982621553,0.4210689177024662,0.34375,11,32,0.20410233354328552,0.5168922649121406,0.4375,14,32,0.2816508596944317,0.6067469796877387,0.4375,14,32,0.2816508596944317,0.6067469796877387,0.1875,6,32,0.08889423936162782,0.3530949575492244
numeric,0.0001,,18,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
numeric,0.0001,,31,10,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166,0.0,0,10,0.0,0.2775401687666166
