ek_bin,k_kind,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
"[0,1e-07)",numeric,2016,0.0,0,2016,0.0,0.001901931319762896,0.0,0,2016,0.0,0.001901931319762896,0.0,0,2016,0.0,0.001901931319762896,0.0,0,2016,0.0,0.001901931319762896,0.0,0,2016,0.0,0.001901931319762896,0.0,0.0,0.0,0
"[0.0001,0.001)",bitflip,107,0.8785046728971962,94,107,0.8031662162433888,0.9276063456828194,0.9252336448598131,99,107,0.8593610402927464,0.9616303564391665,0.9813084112149533,105,107,0.934394855595107,0.9948591429036516,0.9813084112149533,105,107,0.934394855595107,0.9948591429036516,0.9158878504672897,98,107,0.8478290663839783,0.9551185633867938,9.34600830078125e-05,0.0002522468566894531,0.10546874956800001,0
"[0.0001,0.001)",numeric,73,0.8767123287671232,64,73,0.7819948926528207,0.9337632383595474,0.9452054794520548,69,73,0.8674081222635519,0.9784878507510653,0.9726027397260274,71,73,0.9054967102680322,0.9924543995474844,0.9726027397260274,71,73,0.9054967102680322,0.9924543995474844,0.9315068493150684,68,73,0.8494770066805462,0.970391397933621,0.00010156631469726562,0.0002498626708984375,0.1040039061435,0
"[0.001,0.01)",bitflip,306,1.0,306,306,0.987601406654239,1.0,1.0,306,306,0.987601406654239,1.0,1.0,306,306,0.987601406654239,1.0,1.0,306,306,0.987601406654239,1.0,0.9411764705882353,288,306,0.9089418273467762,0.962471178524611,0.0009169578552246094,0.002082347869873047,0.11254882809618749,0
"[0.001,0.01)",numeric,314,0.9968152866242038,313,314,0.9821834208996962,0.9994376129737803,0.9968152866242038,313,314,0.9821834208996962,0.9994376129737803,0.9968152866242038,313,314,0.9821834208996962,0.9994376129737803,0.9968152866242038,313,314,0.9821834208996962,0.9994376129737803,0.9394904458598726,295,314,0.9074332002682532,0.9609238681582839,0.0009870529174804688,0.002136707305908203,0.10980224607969531,0
"[0.01,0.1)",bitflip,113,1.0,113,113,0.9671212992632762,1.0,1.0,113,113,0.9671212992632762,1.0,1.0,113,113,0.9671212992632762,1.0,1.0,113,113,0.9671212992632762,1.0,0.9469026548672567,107,113,0.888977408076206,0.9754407443626515,0.004984855651855469,0.014889717102050781,0.12014770507043555,0
"[0.01,0.1)",numeric,426,1.0,426,426,0.991062754279716,0.9999999999999999,1.0,426,426,0.991062754279716,0.9999999999999999,1.0,426,426,0.991062754279716,0.9999999999999999,1.0,426,426,0.991062754279716,0.9999999999999999,0.9366197183098591,399,426,0.9093558050296331,0.9560792761723724,0.0070400238037109375,0.020532608032226562,0.11463928222289405,0
"[0.1,1)",bitflip,159,1.0,159,159,0.9764089765760101,1.0,1.0,159,159,0.9764089765760101,1.0,1.0,159,159,0.9764089765760101,1.0,1.0,159,159,0.9764089765760101,1.0,0.9308176100628931,148,159,0.8803743204112809,0.9609340430535832,0.09238588809967041,0.21751809120178223,0.11393229166568213,0
"[0.1,1)",numeric,187,1.0,187,187,0.9798702169757536,1.0,1.0,187,187,0.9798702169757536,1.0,1.0,187,187,0.9798702169757536,1.0,1.0,187,187,0.9798702169757536,1.0,0.9518716577540107,178,187,0.9110750373515629,0.9744761213056691,0.03864765167236328,0.1246194839477539,0.11532110916863099,0
"[1,10)",bitflip,380,1.0,380,380,0.9899917049116094,1.0,1.0,380,380,0.9899917049116094,1.0,1.0,380,380,0.9899917049116094,1.0,1.0,380,380,0.9899917049116094,1.0,0.9473684210526315,360,380,0.9201077945153826,0.9656742572476362,0.5418317317962646,1.6702280044555664,0.11531918174338221,0
"[1,10)",numeric,3,1.0,3,3,0.43849391955098227,1.0,1.0,3,3,0.43849391955098227,1.0,1.0,3,3,0.43849391955098227,1.0,1.0,3,3,0.43849391955098227,1.0,1.0,3,3,0.43849391955098227,1.0,0.14294052124023438,0.18929243087768555,0.049027835621507164,0
"[10,inf)",bitflip,336,1.0,336,336,0.9886959100945851,0.9999999999999998,1.0,336,336,0.9886959100945851,0.9999999999999998,1.0,336,336,0.9886959100945851,0.9999999999999998,1.0,336,336,0.9886959100945851,0.9999999999999998,0.6994047619047619,235,336,0.6483487541047116,0.7459525909925336,1.6631473195295751e+37,2.927752389190756e+37,0.08976941675572962,934
"[1e-05,0.0001)",bitflip,7,0.0,0,7,0.0,0.35433884297520657,0.0,0,7,0.0,0.35433884297520657,0.0,0,7,0.0,0.35433884297520657,0.0,0,7,0.0,0.35433884297520657,1.0,7,7,0.6456611570247934,1.0,6.67572021484375e-06,1.1444091796875e-05,0.0937499969280001,0
"[1e-05,0.0001)",numeric,4,0.0,0,4,0.0,0.48990002040399916,0.0,0,4,0.0,0.48990002040399916,0.0,0,4,0.0,0.48990002040399916,0.0,0,4,0.0,0.48990002040399916,1.0,4,4,0.5100999795960008,1.0,1.0013580322265625e-05,1.2874603271484375e-05,0.09374999846400003,0
"[1e-06,1e-05)",bitflip,1,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,1.0,1,1,0.2065432914738929,1.0,4.76837158203125e-07,4.76837158203125e-07,0.07812497952000537,0
"[1e-06,1e-05)",numeric,1,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,0.0,0,1,0.0,0.7934567085261071,1.0,1,1,0.2065432914738929,1.0,4.76837158203125e-07,4.76837158203125e-07,0.07812497952000537,0
nonfinite,bitflip,103,1.0,103,103,0.9640439678926562,1.0,1.0,103,103,0.9640439678926562,1.0,1.0,103,103,0.9640439678926562,1.0,1.0,103,103,0.9640439678926562,1.0,0.0,0,103,0.0,0.03595603210734395,0.0,0.0,,1648
