query_u,ctx,n,max_es_p50,max_es_p90,fail_s,fail_s_k,fail_s_n,fail_s_ci95_low,fail_s_ci95_high
0,64,2268,8.511543273925781e-05,0.32244718074798584,0.544973544973545,1236,2268,0.5244200368475809,0.5653749559019137
0,256,2268,0.00010824203491210938,0.30531883239746094,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
1,64,2268,9.34600830078125e-05,0.39179134368896484,0.5458553791887125,1238,2268,0.5253036816254976,0.5662519972563399
1,256,2268,0.00010776519775390625,0.3453211784362793,0.548941798941799,1245,2268,0.5283969477491454,0.5693211325958928
2,64,2268,8.416175842285156e-05,0.3558623790740967,0.5471781305114638,1241,2268,0.5266292700380334,0.5675674380423187
2,256,2268,9.34600830078125e-05,0.32541370391845703,0.548941798941799,1245,2268,0.5283969477491454,0.5693211325958928
3,64,2268,7.915496826171875e-05,0.3660908341407776,0.5485008818342152,1244,2268,0.5279550040417891,0.5688827332370776
3,256,2268,0.00010395050048828125,0.3346931040287018,0.5511463844797179,1250,2268,0.530606909271911,0.5715128864039849
4,64,2268,7.295608520507812e-05,0.38881373405456543,0.5458553791887125,1238,2268,0.5253036816254976,0.5662519972563399
4,256,2268,9.369850158691406e-05,0.32769107818603516,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
5,64,2268,9.393692016601562e-05,0.32614755630493164,0.5480599647266314,1243,2268,0.5275130765235896,0.5684443176891056
5,256,2268,0.00010192394256591797,0.32390356063842773,0.550705467372134,1249,2268,0.5301648845548711,0.5710745680548529
6,64,2268,8.296966552734375e-05,0.3804410696029663,0.5445326278659612,1235,2268,0.5239782386959687,0.5649364109873544
6,256,2268,0.00010204315185546875,0.31268310546875,0.5498236331569665,1247,2268,0.5292808837481949,0.5701978827291861
7,64,2268,7.855892181396484e-05,0.3339810371398926,0.5471781305114638,1241,2268,0.5266292700380334,0.5675674380423187
7,256,2268,0.0001049041748046875,0.3132004737854004,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
8,64,2268,7.152557373046875e-05,0.3265038728713989,0.5462962962962963,1239,2268,0.5257455282596198,0.5666904936883891
8,256,2268,9.97781753540039e-05,0.31807708740234375,0.548941798941799,1245,2268,0.5283969477491454,0.5693211325958928
9,64,2268,7.033348083496094e-05,0.3646667003631592,0.54673721340388,1240,2268,0.5261873910624626,0.567128973951718
9,256,2268,9.584426879882812e-05,0.33663511276245117,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
10,64,2268,8.344650268554688e-05,0.34239691495895386,0.5471781305114638,1241,2268,0.5266292700380334,0.5675674380423187
10,256,2268,0.00010156631469726562,0.2856435775756836,0.5498236331569665,1247,2268,0.5292808837481949,0.5701978827291861
11,64,2268,7.963180541992188e-05,0.33498477935791016,0.5445326278659612,1235,2268,0.5239782386959687,0.5649364109873544
11,256,2268,9.438395500183105e-05,0.33785486221313477,0.550705467372134,1249,2268,0.5301648845548711,0.5710745680548529
12,64,2268,8.124113082885742e-05,0.35540926456451416,0.54673721340388,1240,2268,0.5261873910624626,0.567128973951718
12,256,2268,0.00010800361633300781,0.30425596237182617,0.5493827160493827,1246,2268,0.5288389076498651,0.5697595157613445
13,64,2268,9.775161743164062e-05,0.35277652740478516,0.5462962962962963,1239,2268,0.5257455282596198,0.5666904936883891
13,256,2268,0.00010967254638671875,0.35178375244140625,0.550705467372134,1249,2268,0.5301648845548711,0.5710745680548529
14,64,2268,8.487701416015625e-05,0.33313941955566406,0.5458553791887125,1238,2268,0.5253036816254976,0.5662519972563399
14,256,2268,0.00011992454528808594,0.31732177734375,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
15,64,2268,7.677078247070312e-05,0.3422999382019043,0.544973544973545,1236,2268,0.5244200368475809,0.5653749559019137
15,256,2268,0.00011539459228515625,0.2920958399772644,0.5502645502645502,1248,2268,0.5297228760484214,0.5706362334951312
