prompt_id,layer,ctx,query_u,k_kind,rel,bit_class,abs_delta_k,q_abs_at_dim,predicted_es_scaled,es_at_fault_key_scaled,max_abs_es_scaled,rel_err
seq_0000,18,64,0,numeric,0.0001,,0.0,0.35546875,0.0,0.0,0.0,0.0
seq_0000,18,64,1,numeric,0.0001,,0.0,1.140625,0.0,0.0,0.0,0.0
seq_0000,18,64,2,numeric,0.0001,,0.0,0.8359375,0.0,0.0,0.0,0.0
seq_0000,18,64,3,numeric,0.0001,,0.0,1.015625,0.0,0.0,0.0,0.0
seq_0000,18,64,4,numeric,0.0001,,0.0,0.4765625,0.0,0.0,0.0,0.0
seq_0000,18,64,5,numeric,0.0001,,0.0,0.515625,0.0,0.0,0.0,0.0
seq_0000,18,64,6,numeric,0.0001,,0.0,0.48046875,0.0,0.0,0.0,0.0
seq_0000,18,64,7,numeric,0.0001,,0.0,1.015625,0.0,0.0,0.0,0.0
seq_0000,18,64,0,numeric,0.001,,0.0,0.35546875,0.0,0.0,0.0,0.0
seq_0000,18,64,1,numeric,0.001,,0.0,1.140625,0.0,0.0,0.0,0.0
seq_0000,18,64,2,numeric,0.001,,0.0,0.8359375,0.0,0.0,0.0,0.0
seq_0000,18,64,3,numeric,0.001,,0.0,1.015625,0.0,0.0,0.0,0.0
seq_0000,18,64,4,numeric,0.001,,0.0,0.4765625,0.0,0.0,0.0,0.0
seq_0000,18,64,5,numeric,0.001,,0.0,0.515625,0.0,0.0,0.0,0.0
seq_0000,18,64,6,numeric,0.001,,0.0,0.48046875,0.0,0.0,0.0,0.0
seq_0000,18,64,7,numeric,0.001,,0.0,1.015625,0.0,0.0,0.0,0.0
seq_0000,18,64,0,numeric,0.01,,0.001953125,0.35546875,6.136581143186172e-05,6.103515625e-05,6.103515625e-05,0.005388263737710065
seq_0000,18,64,1,numeric,0.01,,0.001953125,1.140625,0.00019691007624289693,0.00019693374633789062,0.00019693374633789062,0.00012020763652686148
seq_0000,18,64,2,numeric,0.01,,0.001953125,0.8359375,0.00014431080930130116,0.00014448165893554688,0.00014448165893554688,0.0011839004568611295
seq_0000,18,64,3,numeric,0.01,,0.001953125,1.015625,0.00017533088980531918,0.00017547607421875,0.00017547607421875,0.0008280595208520819
seq_0000,18,64,4,numeric,0.01,,0.001953125,0.4765625,8.227064829326515e-05,8.249282836914062e-05,8.249282836914062e-05,0.002700599518589952
seq_0000,18,64,5,numeric,0.01,,0.001953125,0.515625,8.90141440550082e-05,8.916854858398438e-05,8.916854858398438e-05,0.0017346066614554543
seq_0000,18,64,6,numeric,0.01,,0.001953125,0.48046875,8.294499786943946e-05,8.296966552734375e-05,8.296966552734375e-05,0.0002973977725060685
seq_0000,18,64,7,numeric,0.01,,0.001953125,1.015625,0.00017533088980531918,0.00017499923706054688,0.00017499923706054688,0.0018915819297385447
seq_0000,18,64,0,bitflip,,mantissa,0.0009765625,0.35546875,3.068290571593086e-05,3.0040740966796875e-05,3.0040740966796875e-05,0.020929071521133488
seq_0000,18,64,1,bitflip,,mantissa,0.0009765625,1.140625,9.845503812144847e-05,9.822845458984375e-05,9.822845458984375e-05,0.002301390905194979
seq_0000,18,64,2,bitflip,,mantissa,0.0009765625,0.8359375,7.215540465065058e-05,7.2479248046875e-05,7.2479248046875e-05,0.004488137698128203
seq_0000,18,64,3,bitflip,,mantissa,0.0009765625,1.015625,8.766544490265959e-05,8.7738037109375e-05,8.7738037109375e-05,0.0008280595161292432
seq_0000,18,64,4,bitflip,,mantissa,0.0009765625,0.4765625,4.1135324146632575e-05,4.1484832763671875e-05,4.1484832763671875e-05,0.008496556567704955
seq_0000,18,64,5,bitflip,,mantissa,0.0009765625,0.515625,4.45070720275041e-05,4.458427429199219e-05,4.458427429199219e-05,0.0017346066419685888
seq_0000,18,64,6,bitflip,,mantissa,0.0009765625,0.48046875,4.147249893471973e-05,4.100799560546875e-05,4.100799560546875e-05,0.011200273192649032
seq_0000,18,64,7,bitflip,,mantissa,0.0009765625,1.015625,8.766544490265959e-05,8.726119995117188e-05,8.726119995117188e-05,0.004611223354029052
seq_0001,18,64,0,numeric,0.0001,,0.0,0.3984375,0.0,0.0,0.0,0.0
seq_0001,18,64,1,numeric,0.0001,,0.0,0.48046875,0.0,0.0,0.0,0.0
seq_0001,18,64,2,numeric,0.0001,,0.0,1.4609375,0.0,0.0,0.0,0.0
seq_0001,18,64,3,numeric,0.0001,,0.0,1.3984375,0.0,0.0,0.0,0.0
seq_0001,18,64,4,numeric,0.0001,,0.0,0.91796875,0.0,0.0,0.0,0.0
seq_0001,18,64,5,numeric,0.0001,,0.0,0.62109375,0.0,0.0,0.0,0.0
seq_0001,18,64,6,numeric,0.0001,,0.0,0.53125,0.0,0.0,0.0,0.0
seq_0001,18,64,7,numeric,0.0001,,0.0,0.546875,0.0,0.0,0.0,0.0
seq_0001,18,64,0,numeric,0.001,,0.0,0.3984375,0.0,0.0,0.0,0.0
seq_0001,18,64,1,numeric,0.001,,0.0,0.48046875,0.0,0.0,0.0,0.0
seq_0001,18,64,2,numeric,0.001,,0.0,1.4609375,0.0,0.0,0.0,0.0
seq_0001,18,64,3,numeric,0.001,,0.0,1.3984375,0.0,0.0,0.0,0.0
seq_0001,18,64,4,numeric,0.001,,0.0,0.91796875,0.0,0.0,0.0,0.0
seq_0001,18,64,5,numeric,0.001,,0.0,0.62109375,0.0,0.0,0.0,0.0
seq_0001,18,64,6,numeric,0.001,,0.0,0.53125,0.0,0.0,0.0,0.0
seq_0001,18,64,7,numeric,0.001,,0.0,0.546875,0.0,0.0,0.0,0.0
seq_0001,18,64,0,numeric,0.01,,0.015625,0.3984375,0.0005502692541582325,0.0005502700805664062,0.0005502700805664062,1.5018250902182424e-06
seq_0001,18,64,1,numeric,0.01,,0.015625,0.48046875,0.0006635599829555157,0.00066375732421875,0.00066375732421875,0.000297397775643365
seq_0001,18,64,2,numeric,0.01,,0.015625,1.4609375,0.0020176539319135193,0.002017498016357422,0.002017498016357422,7.727566831657726e-05
seq_0001,18,64,3,numeric,0.01,,0.015625,1.3984375,0.0019313371861632083,0.0019311904907226562,0.0019311904907226562,7.595537512925626e-05
seq_0001,18,64,4,numeric,0.01,,0.015625,0.91796875,0.0012677772032076925,0.0012679100036621094,0.0012679100036621094,0.00010475062493322452
seq_0001,18,64,5,numeric,0.01,,0.015625,0.62109375,0.0008577726608937154,0.0008577108383178711,0.0008577108383178711,7.207338096769307e-05
seq_0001,18,64,6,numeric,0.01,,0.015625,0.53125,0.0007336923388776434,0.0007336139678955078,0.0007336139678955078,0.00010681722825214875
seq_0001,18,64,7,numeric,0.01,,0.015625,0.546875,0.0007552715253152211,0.00075531005859375,0.00075531005859375,5.1019106621054014e-05
seq_0001,18,64,0,bitflip,,mantissa,0.0078125,0.3984375,0.00027513462707911624,0.0002751350402832031,0.0002751350402832031,1.5018250874889875e-06
seq_0001,18,64,1,bitflip,,mantissa,0.0078125,0.48046875,0.00033177999147775784,0.00033092498779296875,0.00033092498779296875,0.0025770200258426064
seq_0001,18,64,2,bitflip,,mantissa,0.0078125,1.4609375,0.0010088269659567597,0.0010089874267578125,0.0010089874267578125,0.00015905681183055528
seq_0001,18,64,3,bitflip,,mantissa,0.0078125,1.3984375,0.0009656685930816042,0.0009655952453613281,0.0009655952453613281,7.595537508992838e-05
seq_0001,18,64,4,bitflip,,mantissa,0.0078125,0.91796875,0.0006338886016038463,0.0006337165832519531,0.0006337165832519531,0.0002713700028467632
seq_0001,18,64,5,bitflip,,mantissa,0.0078125,0.62109375,0.0004288863304468577,0.00042891502380371094,0.00042891502380371094,6.690200817644146e-05
seq_0001,18,64,6,bitflip,,mantissa,0.0078125,0.53125,0.0003668461694388217,0.0003669261932373047,0.0003669261932373047,0.00021813993147938563
seq_0001,18,64,7,bitflip,,mantissa,0.0078125,0.546875,0.00037763576265761054,0.000377655029296875,0.000377655029296875,5.101910655350333e-05
seq_0002,18,64,0,numeric,0.0001,,0.0,2.59375,0.0,0.0,0.0,0.0
seq_0002,18,64,1,numeric,0.0001,,0.0,0.6640625,0.0,0.0,0.0,0.0
seq_0002,18,64,2,numeric,0.0001,,0.0,0.953125,0.0,0.0,0.0,0.0
seq_0002,18,64,3,numeric,0.0001,,0.0,1.0859375,0.0,0.0,0.0,0.0
seq_0002,18,64,4,numeric,0.0001,,0.0,0.796875,0.0,0.0,0.0,0.0
seq_0002,18,64,5,numeric,0.0001,,0.0,0.7890625,0.0,0.0,0.0,0.0
seq_0002,18,64,6,numeric,0.0001,,0.0,1.734375,0.0,0.0,0.0,0.0
seq_0002,18,64,7,numeric,0.0001,,0.0,0.921875,0.0,0.0,0.0,0.0
seq_0002,18,64,0,numeric,0.001,,0.0,2.59375,0.0,0.0,0.0,0.0
seq_0002,18,64,1,numeric,0.001,,0.0,0.6640625,0.0,0.0,0.0,0.0
seq_0002,18,64,2,numeric,0.001,,0.0,0.953125,0.0,0.0,0.0,0.0
seq_0002,18,64,3,numeric,0.001,,0.0,1.0859375,0.0,0.0,0.0,0.0
seq_0002,18,64,4,numeric,0.001,,0.0,0.796875,0.0,0.0,0.0,0.0
seq_0002,18,64,5,numeric,0.001,,0.0,0.7890625,0.0,0.0,0.0,0.0
seq_0002,18,64,6,numeric,0.001,,0.0,1.734375,0.0,0.0,0.0,0.0
seq_0002,18,64,7,numeric,0.001,,0.0,0.921875,0.0,0.0,0.0,0.0
seq_0002,18,64,0,numeric,0.01,,0.0009765625,2.59375,0.00022388405928986912,0.00022411346435546875,0.00022411346435546875,0.0010246601089091234
seq_0002,18,64,1,numeric,0.01,,0.0009765625,0.6640625,5.7319713974815885e-05,5.7220458984375e-05,5.7220458984375e-05,0.0017316030005469188
seq_0002,18,64,2,numeric,0.01,,0.0009765625,0.953125,8.227064829326515e-05,8.249282836914062e-05,8.249282836914062e-05,0.002700599518589952
seq_0002,18,64,3,numeric,0.01,,0.0009765625,1.0859375,9.373459108822834e-05,9.34600830078125e-05,9.34600830078125e-05,0.0029285675042726557
seq_0002,18,64,4,numeric,0.01,,0.0009765625,0.796875,6.878365676977906e-05,6.866455078125e-05,6.866455078125e-05,0.0017316030055818054
seq_0002,18,64,5,numeric,0.01,,0.0009765625,0.7890625,6.810930719360476e-05,6.866455078125e-05,6.866455078125e-05,0.008152242364096897
seq_0002,18,64,6,numeric,0.01,,0.0009765625,1.734375,0.00014970560591069562,0.00014925003051757812,0.00014925003051757812,0.003043141820261002
