ek_bin,k_kind,n_trials,fail_s_L1,fail_s_L1_k,fail_s_L1_n,fail_s_L1_ci95_low,fail_s_L1_ci95_high,fail_s_L2,fail_s_L2_k,fail_s_L2_n,fail_s_L2_ci95_low,fail_s_L2_ci95_high,fail_s_L16,fail_s_L16_k,fail_s_L16_n,fail_s_L16_ci95_low,fail_s_L16_ci95_high,fail_s_Lfull,fail_s_Lfull_k,fail_s_Lfull_n,fail_s_Lfull_ci95_low,fail_s_Lfull_ci95_high,future_amplified,future_amplified_k,future_amplified_n,future_amplified_ci95_low,future_amplified_ci95_high,max_es_future_p50,max_es_future_p90,gain_p50,n_es_nonfinite
"[0,1e-07)",numeric,5,0.0,0,5,0.0,0.43449149475208104,0.0,0,5,0.0,0.43449149475208104,0.0,0,5,0.0,0.43449149475208104,0.0,0,5,0.0,0.43449149475208104,0.0,0,5,0.0,0.43449149475208104,0.0,0.0,0.0,0
"[0.0001,0.001)",bitflip,5,0.6,3,5,0.23071993220883708,0.8823817688407467,0.6,3,5,0.23071993220883708,0.8823817688407467,1.0,5,5,0.5655085052479191,1.0,1.0,5,5,0.5655085052479191,1.0,1.0,5,5,0.5655085052479191,1.0,0.0001550912857055664,0.0002968311309814453,0.10400390603700001,0
"[0.0001,0.001)",numeric,32,0.09375,3,32,0.032400962626319516,0.24218499335778831,0.09375,3,32,0.032400962626319516,0.24218499335778831,0.125,4,32,0.04970053844474301,0.2806864978482796,0.125,4,32,0.04970053844474301,0.2806864978482796,0.125,4,32,0.04970053844474301,0.2806864978482796,0.0,2.288818359375e-05,0.0,0
"[0.001,0.01)",bitflip,17,1.0,17,17,0.8156763396284354,1.0,1.0,17,17,0.8156763396284354,1.0,1.0,17,17,0.8156763396284354,1.0,1.0,17,17,0.8156763396284354,1.0,0.8823529411764706,15,17,0.6566315750229009,0.967120919987079,0.0010628700256347656,0.0015320777893066406,0.11187744139192968,0
"[0.001,0.01)",numeric,31,0.5806451612903226,18,31,0.40765964352020967,0.7358469692645074,0.5806451612903226,18,31,0.40765964352020967,0.7358469692645074,0.5806451612903226,18,31,0.40765964352020967,0.7358469692645074,0.5806451612903226,18,31,0.40765964352020967,0.7358469692645074,0.5161290322580645,16,31,0.34840118286973176,0.6803001396872117,0.0003101825714111328,0.0019207000732421875,0.07324218606534093,0
"[0.01,0.1)",bitflip,10,1.0,10,10,0.7224598312333834,1.0,1.0,10,10,0.7224598312333834,1.0,1.0,10,10,0.7224598312333834,1.0,1.0,10,10,0.7224598312333834,1.0,1.0,10,10,0.7224598312333834,1.0,0.00289154052734375,0.00690460205078125,0.10358047484688648,0
"[0.01,0.1)",numeric,28,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,0.9285714285714286,26,28,0.7735426157408214,0.9801883525522292,0.0070400238037109375,0.018040180206298828,0.10412791277468768,0
"[0.1,1)",bitflip,9,1.0,9,9,0.7008472464490407,1.0,1.0,9,9,0.7008472464490407,1.0,1.0,9,9,0.7008472464490407,1.0,1.0,9,9,0.7008472464490407,1.0,1.0,9,9,0.7008472464490407,1.0,0.07714557647705078,0.15315818786621094,0.10427142204065545,0
"[0.1,1)",numeric,13,1.0,13,13,0.7718981569447083,1.0,1.0,13,13,0.7718981569447083,1.0,1.0,13,13,0.7718981569447083,1.0,1.0,13,13,0.7718981569447083,1.0,1.0,13,13,0.7718981569447083,1.0,0.03836774826049805,0.1325826644897461,0.11162325024138296,0
"[1,10)",bitflip,28,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,1.0,28,28,0.8793527963418923,1.0,0.9285714285714286,26,28,0.7735426157408214,0.9801883525522292,0.43952512741088867,1.430095911026001,0.10358009212893263,0
"[10,inf)",bitflip,20,1.0,20,20,0.8388698745050667,1.0,1.0,20,20,0.8388698745050667,1.0,1.0,20,20,0.8388698745050667,1.0,1.0,20,20,0.8388698745050667,1.0,0.6,12,20,0.3865779423152061,0.7811960325858074,1.7182659085130387e+37,2.9491389224672067e+37,0.10288956382057883,43
"[1e-05,0.0001)",bitflip,2,0.0,0,2,0.0,0.6576280471103807,0.0,0,2,0.0,0.6576280471103807,0.0,0,2,0.0,0.6576280471103807,0.0,0,2,0.0,0.6576280471103807,1.0,2,2,0.34237195288961925,1.0,6.67572021484375e-06,1.1444091796875e-05,0.12499999590400013,0
"[1e-05,0.0001)",numeric,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.03125,1,32,0.005537717362550959,0.1574460780037273,0.0,0.0,0.0,0
"[1e-06,1e-05)",numeric,32,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0,32,0.0,0.1071827150573635,0.0,0.0,0.0,0
"[1e-07,1e-06)",numeric,19,0.0,0,19,0.0,0.16818436536845055,0.0,0,19,0.0,0.16818436536845055,0.0,0,19,0.0,0.16818436536845055,0.0,0,19,0.0,0.16818436536845055,0.0,0,19,0.0,0.16818436536845055,0.0,0.0,0.0,0
nonfinite,bitflip,5,1.0,5,5,0.5655085052479191,1.0,1.0,5,5,0.5655085052479191,1.0,1.0,5,5,0.5655085052479191,1.0,1.0,5,5,0.5655085052479191,1.0,0.0,0,5,0.0,0.43449149475208104,0.0,0.0,,80
