query_u,ctx,n,max_es_p50,max_es_p90,fail_s,fail_s_k,fail_s_n,fail_s_ci95_low,fail_s_ci95_high
0,64,144,0.00013875961303710938,0.3201279640197754,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
0,256,144,9.72747802734375e-05,0.30176329612731934,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
1,64,144,0.00012445449829101562,0.37116193771362305,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
1,256,144,0.00011134147644042969,0.5923594236373901,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
2,64,144,8.296966552734375e-05,0.3003826141357422,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
2,256,144,7.486343383789062e-05,0.3659830093383789,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
3,64,144,5.888938903808594e-05,0.29018640518188477,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
3,256,144,0.00011491775512695312,0.2558751106262207,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
4,64,144,7.534027099609375e-05,0.36736392974853516,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
4,256,144,0.00011134147644042969,0.42612409591674805,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
5,64,144,6.723403930664062e-05,0.293703556060791,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
5,256,144,0.0001207590103149414,0.6181142330169678,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
6,64,144,0.00011110305786132812,0.3922450542449951,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
6,256,144,9.012222290039062e-05,0.3231697082519531,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
7,64,144,0.00010323524475097656,0.2525625228881836,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
7,256,144,0.000102996826171875,0.31229305267333984,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
8,64,144,0.00014019012451171875,0.27695798873901367,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
8,256,144,0.00016570091247558594,0.4264047145843506,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
9,64,144,0.00013566017150878906,0.302453875541687,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
9,256,144,0.00018739700317382812,0.44832897186279297,0.5486111111111112,79,144,0.46712120157498654,0.6275747432740952
10,64,144,0.00010824203491210938,0.31591928005218506,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
10,256,144,0.00010800361633300781,0.5116856694221497,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
11,64,144,0.00013148784637451172,0.27388304471969604,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
11,256,144,0.00015306472778320312,0.46576499938964844,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
12,64,144,0.00017690658569335938,0.2673227787017822,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
12,256,144,0.00013899803161621094,0.41949939727783203,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
13,64,144,0.0002104043960571289,0.34998178482055664,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
13,256,144,0.00016498565673828125,0.40172886848449707,0.5416666666666666,78,144,0.4602583768392711,0.620909575888513
14,64,144,0.00015401840209960938,0.2537713050842285,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
14,256,144,0.0001277923583984375,0.35752391815185547,0.5347222222222222,77,144,0.45341085138918064,0.6142291092173064
15,64,144,0.00010776519775390625,0.40180444717407227,0.5277777777777778,76,144,0.4465785775862376,0.607533390898952
15,256,144,7.963180541992188e-05,0.2837228775024414,0.5208333333333334,75,144,0.43976151663711593,0.6008224597267763
